abb,xl,yb,xr,yt
HI,0,1,1,2
CA,0,3,1,4
AK,0,6,1,7
NV,1,3,2,4
OR,1,4,2,5
WA,1,5,2,6
AZ,2,2,3,3
UT,2,3,3,4
ID,2,4,3,5
MT,2,5,3,6
TX,3,1,4,2
NM,3,2,4,3
CO,3,3,4,4
WY,3,4,4,5
ND,3,5,4,6
LA,4,1,5,2
OK,4,2,5,3
KS,4,3,5,4
NE,4,4,5,5
SD,4,5,5,6
MS,5,1,6,2
AR,5,2,6,3
MO,5,3,6,4
IA,5,4,6,5
MN,5,5,6,6
AL,6,1,7,2
TN,6,2,7,3
KY,6,3,7,4
IL,6,4,7,5
WI,6,5,7,6
FL,7,0,8,1
GA,7,1,8,2
VA,7,2,8,3
WV,7,3,8,4
IN,7,4,8,5
MI,7,5,8,6
SC,8,1,9,2
NC,8,2,9,3
DC,8,3,9,4
OH,8,4,9,5
MD,9,3,10,4
PA,9,4,10,5
NY,9,5,10,6
VT,9,6,10,7
DE,10,3,11,4
NJ,10,4,11,5
CT,10,5,11,6
NH,10,6,11,7
RI,11,5,12,6
MA,11,6,12,7
ME,11,7,12,8